news_title,news_text
"Vizag locals protest with 3 gas leak victims' bodies, demand closure of plant","
Hundreds of residents of villages affected by gas leak from LG Polymers India plant in Visakhapatnam, Andhra Pradesh staged a protest outside the factory, demanding shutting down or relocation of the plant. Families of three people who died in the incident brought the bodies and kept them outside factory gates. Protesters also demanded action against factory management and the company.

short by Sakshita Khosla / 
      08:51 pm on 09 May

"
AAP MLA Prakash Jarwal arrested in Delhi doctor suicide case,"
Delhi Police on Saturday arrested Aam Aadmi Party (AAP) MLA Prakash Jarwal in connection with the suicide of a doctor last month. This came a day after a Delhi Court issued a non-bailable warrant against him. Jarwal was named in the suicide note of the 52-year-old deceased doctor who hanged himself at his home in Delhi in April.

short by Sakshita Khosla / 
      09:32 pm on 09 May

"
"Mark says he was scared to play Hulk at first, Downey Jr convinced him","
Mark Ruffalo has revealed that he was scared to portray Hulk in the Marvel Cinematic Universe at first. ""I didn't know what I could add to what I already thought had been done so well before me,"" he added. Mark further said he got a call from Robert Downey Jr who convinced him saying,  ""Ruffalo, let's go. We got this.""

short by Udit Gupta / 
      09:10 pm on 09 May

"
"Zoa donates blood for plasma therapy trial, says 'They gave certificate & ₹500'","
Zoa Morani, who recovered from coronavirus last month, donated her blood on Saturday at Nair hospital in Mumbai for plasma therapy trials for coronavirus treatment. Sharing the pictures of the same, Zoa wrote on Instagram, ""It was fascinating!!! Team there was so enthusiastic and careful."" She added, ""They even gave me...certificate and ₹500, won't lie, I felt super cool today.""


short by Udit Gupta / 
      10:18 pm on 09 May

"
Less projects will go on floors post lockdown: Jackky Bhagnani,"
Actor-producer Jackky Bhagnani has said investors and producers will take their time to ""green-light"" the projects once the lockdown is lifted. ""There'll be...lesser number of projects that will go on...floors,"" he added. ""As a producer, there might be some pragmatic decisions to be taken on which projects to do first and how to minimise costs without affecting...demands of...script,"" said Jackky.

short by Udit Gupta / 
      09:39 pm on 09 May

"
"Worried about parents in Jaipur, stopping them from going out is task: Anirudh","
Actor Anirudh Dave, who's in Mumbai, has said he's worried about his parents who're in Jaipur amid the coronavirus pandemic. He added stopping his mother and father from stepping out is a task because they get restless. ""Sister and I try doing certain things to keep them engaged. This is the situation...senior citizens staying alone are facing,"" Anirudh further said. 

short by Udit Gupta / 
      09:04 pm on 09 May

"
"Delhi HC extends interim bail of 2,177 undertrial prisoners","
The Delhi High Court on Saturday extended interim bail of 2,177 undertrial prisoners by 45 days to decongest jails amid coronavirus spread. The order was passed in view of a high-power committee's recommendation that it would be dangerous to put prisoners back in jail as risk of spread remains high. 

short by Sakshita Khosla / 
      09:48 pm on 09 May

"
Air India flight carrying 129 Indians from Bangladesh lands in Delhi,"
An Air India flight carrying 129 Indian nationals from Bangladesh's Dhaka landed at Delhi airport on Saturday under the Vande Bharat mission for repatriating Indians stranded abroad. Another flight from Bangladesh carrying 167 stranded medical students landed in Srinagar on Friday. Earlier, the government said Air India will operate 64 flights in a week to bring back around 15,000 Indians.

short by Kiran Khatri / 
      08:35 pm on 09 May

"
2020 tennis season may get entirely written off over COVID-19: Bopanna,"
India's highest-ranked doubles tennis player Rohan Bopanna has said that the 2020 tennis season may get ""entirely written off"" over the coronavirus pandemic. ""Tennis is not like a lot of other sports where it is played in only one country or a few countries,"" stated Bopanna. ""Thus, the travel, flights, restrictions, everything comes into the picture,"" he added.

short by Ankur Taliyan / 
      10:16 pm on 09 May

"
"It's a big yes: Solskjaer on Pogba, Fernandes playing together for United","
On the question of Paul Pogba and Bruno Fernandes playing together for Manchester United when the season resumes, club manager Ole Gunnar Solskjaer said that it's a ""big yes"". Pogba has missed most of the games this season owing to ankle problems, while Fernandes joined United in January this year. Fernandes has registered three goals in nine matches for United.

short by Ankur Taliyan / 
      09:40 pm on 09 May

"
Alex Carey picks his combined India-Australia T20I XI,"
During an Instagram live session, Australian wicketkeeper-batsman Alex Carey picked his combined India-Australia T20I XI with Shikhar Dhawan and David Warner as openers. Carey picked Steve Smith for the number three spot, followed by Virat Kohli, himself and Rishabh Pant. He further named Ravindra Jadeja, Mitchell Starc, Pat Cummins, Jasprit Bumrah and Adam Zampa in the team.

short by Ankur Taliyan / 
      08:45 pm on 09 May

"
Rohit Sharma is a bowler's captain: Pragyan Ojha,"
Ex-India spinner Pragyan Ojha, who has played under India opener Rohit Sharma for Mumbai Indians in the IPL, has called the latter a ""bowler's captain"". ""He [Rohit] understands the bowlers. If you take care of bowlers in a tournament...that's something that will give you results,"" stated Ojha. ""Rohit was the most bindass cricketer during my playing days,"" he added.

short by Ankur Taliyan / 
      10:10 pm on 09 May

"
Ex-Laker Shannon Brown arrested for firing at couple looking for house on sale,"
Former Los Angeles Lakers player Shannon Brown is facing charges for firing a rifle at a couple who was looking at homes for sale, police said. According to reports, while Brown has claimed that he thought the two were trying to break into his house, the couple has told the police that they entered the house seeing ""for sale"" sign.

short by Ankur Taliyan / 
      08:33 pm on 09 May

"
Twitter could soon let users schedule tweets: Reports,"
Twitter has rolled out a new feature for select users which allows them to schedule their tweets, media reports said. Some of the users shared screenshots of the option on Twitter. There is also a scheduled tweets section for users to see the complete log. The feature is limited only to Twitter's desktop app for now.

short by Aishwarya / 
      09:27 pm on 09 May

"
Tesla not given 'green light' to reopen California factory: Official,"
Alameda County Health Officer Dr Erica Pan said Tesla hasn't been given ""green light"" to reopen its Fremont factory. ""We have been working with them looking at...their safety plans. But no, we have not said that it's appropriate to move forward,"" Pan added. Earlier, Tesla CEO Elon Musk had appreciated California's move to reopen certain ""lower risk"" industries.

short by Aishwarya / 
      10:37 pm on 09 May

"
"NRI offers ₹10L to help reunite his family in India, says it must happen legally","
KR Sreekumar, a Dubai-based businessman has offered a ₹10 lakh reward to anyone, who will help his wife and two sons return to their home state Kerala. ""My eldest son is in Tamil Nadu, while my wife and youngest son are stuck in Mangaluru in neighbouring Karnataka,"" he said. The repatriation must happen through a legal route, he added.

short by Nandini Sinha / 
      05:20 pm on 09 May

"
Hundreds of migrant workers clash with police in Surat; 60 arrested,"
Hundreds of migrant workers came out on the streets and clashed with police at Mora village near Hazira industrial town in Surat district, Gujarat. Around 55-60 workers were arrested and 50-60 others have been detained over the incident, said Surat Joint Commissioner of Police, DN Patel. The workers demanded to be sent back home amid coronavirus lockdown, said Patel.

short by Sakshita Khosla / 
      05:43 pm on 09 May

"
52-year-old Kolkata man recovers from coronavirus after 38 days on ventilator,"
Nitaidas Mukherjee, a 52-year-old social worker from Kolkata recovered from coronavirus after being on ventilator for 38 days. He was rushed to hospital on March 29 and was put on ventilator within 2-3 hours. Mukherjee, who also had diabetes, had to be put on ventilator support till May 2 despite testing negative for coronavirus twice on April 17 and 18.

short by Anmol Sharma / 
      07:36 pm on 09 May

"
Centre ignoring workers' survival: Opp'n writes to Prez on easing of labour laws,"
Leaders of Opposition parties wrote to President Ram Nath Kovind asking him to intervene over reported dilution of labour laws amid the pandemic. ""Concerns for safety and survival of workers is grossly neglected by [central] government,"" said leaders from CPI, CPI(M), RJD and other parties. Central, state governments are diluting laws rather than focussing on fighting COVID-19, they added.

short by Sakshita Khosla / 
      07:58 pm on 09 May

"
"Unlike 'Jurassic Park' movie, raptors did not hunt in packs: Study","
An analysis of raptor teeth suggested that Velociraptors likely didn't hunt in packs the way movies like ""Jurassic Park"" depict. Researchers said raptors likely hunted alone, only attacking in tandem when multiple raptors went for the same prey, though not in coordination. The difference in their diet patterns suggests the young were not being fed by the adults, researchers said.

short by Dharna / 
      05:17 pm on 09 May

"
4 held in Gujarat for allegedly spreading rumours about Amit Shah's health,"
Four people have been detained by Gujarat police for allegedly spreading rumours about Union Home Minister Amit Shah's health. The accused made fake tweet on Shah and posted it in social media groups, said Ahmedabad Special Commissioner of Police (Crime) Ajay Tomar. A case has been filed under sections of IPC and IT Act and investigation is on, said Tomar.

short by Sakshita Khosla / 
      06:54 pm on 09 May

"
Baseless narrative: India on Pak's claim of reduced water flow in Chenab,"
India rejected Pakistan's claim of significant reduction in water discharged into Chenab that flows to Pakistan from Indian side, calling it ""baseless narrative"". Pakistan's Commissioner for Indus Waters told his Indian counterpart Pradeep Saxena that water in Chenab had reduced to 18,700 cusecs from 31,853 cusecs. No such variation has been found in the amount of water, Saxena told PTI.

short by Sakshita Khosla / 
      06:14 pm on 09 May

"
LG Polymers apologises for Visakhapatnam gas leak that killed 12 people,"
LG Polymers India has apologised over the Visakhapatnam gas leak incident, the death toll from which rose to 12. ""Our initial investigations suggest the cause of the incident is prima facie by the leaking vapour from the Styrene Monomer storage tank,"" it said. ""Our teams are working...with the government to...create concrete measures to deliver an effective care package,"" it added.

short by Nandini Sinha / 
      06:06 pm on 09 May

"
Plea filed in Delhi HC seeking CBI probe in 'Bois Locker Room' case,"
The Delhi High Court (HC) on Saturday received a plea seeking a CBI investigation into the Instagram chat group 'Bois Locker Room' where vulgar comments were made on young girls. The plea sought protection for the women and girls who called out the activities of the group. The plea is likely to be heard by the court on May 13.

short by Sakshita Khosla / 
      05:19 pm on 09 May

"
Irrfan was supposed to play Ranbir's dad in 'Jagga...': Basu,"
Anurag Basu has said he had approached Irrfan Khan to play Ranbir Kapoor's adoptive father in 'Jagga Jasoos', however, they couldn't collaborate as the late actor was busy with other films. ""But he told me, 'Chal, 'Metro' sequel banate hain' (Let's make a sequel to 'Metro'),"" the filmmaker revealed. Basu added he wanted to make 'Metro 2' only with Irrfan.

short by Vidushi Mishra / 
      05:40 pm on 09 May

"
I'm really not finding this period very difficult: John on lockdown,"
Talking about the ongoing lockdown, John Abraham said he's not really finding it ""very difficult"", stating, ""Barring...motorcycle rides, I've never been the person who goes out."" ""Someone joked with me 'John's life in quarantine and outside of quarantine is practically...same',"" he added. John further said he's reading a lot and has been talking to his team to ""create good content"".

short by Udit Gupta / 
      07:33 pm on 09 May

"
People shouldn't make women feel guilty about having anxiety: Chitrangda,"
Actress Chitrangda Singh has said people should not make women feel guilty about having any kind of issue, stress or anxiety. Adding that there is no bravery in ""fake toughness"", Chitrangda said, ""It is important to encourage people to talk about it (women's mental health)."" ""The mental health of the women in the family affects everyone,"" she further said.

short by Udit Gupta / 
      07:45 pm on 09 May

"
Lost to Elon Musk for most controversial baby name: Paltrow,"
Reacting to an Instagram post regarding Elon Musk's newborn son's name X Æ A-12, Gwenyth Paltrow commented, ""#ChrisMartin, I think we got beat for most controversial baby name."" Her comment was in reference to the criticism she and ex-husband Chris received for naming their 15-year-old daughter 'Apple'. Meanwhile, Musk has explained 'X Æ A-12' is pronounced 'X Ash A twelve'.

short by Vidushi Mishra / 
      05:02 pm on 09 May

"
A section might just criticise: Aditya Dhar on 'Uri' criticism,"
Talking about his film 'Uri: The Surgical Strike' being accused of jingoism, Aditya Dhar said, ""[N]o matter which film we make, a section of society...might just criticise, and rightfully so...everyone has a right to...opinion."" However, he clarified the film did not intend to offend anyone. ""At times it's tough to draw the line between being patriotic and jingoistic,"" Aditya added.

short by Vidushi Mishra / 
      05:01 pm on 09 May

"
"If not Laxman, I would like to play Raavan: Ramayan actor Sunil","
Sunil Lahri, who essayed the role of Laxman in 'Ramayan', has said if portraying Laxman is not an option for him, then he would like to play Raavan on-screen. Meanwhile, Dipika Chikhlia, who played Sita, has said if somebody would have offered her the show today, she would have possibly played Kaikeyi. ""As...actor, it's exactly opposite playing...negative role,"" she added. 

short by Udit Gupta / 
      05:09 pm on 09 May

"
"I came from Bihar, faced rejections due to my poor English: Actor Vishal","
TV actor and former Bigg Boss 13 contestant Vishal Aditya Singh has said he came to Mumbai from Bihar and faced a lot of rejections in the beginning because of his ""diction, poor English and being desi"". Vishal further said rejections made him perfect, adding, ""I always took rejections and worked on it when they were for my betterment.""

short by Udit Gupta / 
      06:27 pm on 09 May

"
Series on National Treasure & third theatrical film in works,"
A web series on 'National Treasure' for a streaming service and a new theatrical film is in the works, producer Jerry Bruckheimer has said. Jerry added that the series will have ""the same concept but a young cast"". However, the third instalment of the Nicholas Cage-starrer film will have the same cast as the first two 'National Treasure' films.

short by Vidushi Mishra / 
      05:03 pm on 09 May

"
I started singing at 4 & till 16 I was only doing bhajan sandhyas: Neha,"
Neha Kakkar has said she started singing at the age of four and was only doing bhajan sandhyas till 16. ""I would dance and sing bhajans as a little kid and people used to...paagal ho jaate the (go crazy),"" the 31-year-old singer added. Neha further said her journey has been good, adding, ""Never thought about where I have reached today.""

short by Udit Gupta / 
      05:05 pm on 09 May

"
"My payment is stuck, I've my house & car EMI: Actress Sayantani on lockdown","
TV actress Sayantani Ghosh has said people are facing inconvenience due to the lockdown over coronavirus pandemic. ""There are so many people involved in a show and so many payments need to be made,"" she added. ""Payments are stuck in my case also. I've...house and car EMI. Though the Government has relaxed it...for 2-3 months...but I've to run...house as well.""

short by Udit Gupta / 
      06:23 pm on 09 May

"
COVID-19 revealed shortcomings in our epidemic control system: China,"
The coronavirus outbreak was a test that has ""revealed China still has shortcomings"" in its epidemic prevention and control system, Li Bin, the deputy director of the country's National Health Commission, said. Li added that officials are discussing how to improve the country's disease control system so that it can help predict ""outbreaks more accurately and enhance preparedness"".

short by Kiran Khatri / 
      06:10 pm on 09 May

"
"COVID-19 fight like Test match, can't be complacent in 2nd innings: Kumble","
Ex-India captain Anil Kumble compared the fight against coronavirus pandemic to a Test match, saying that people can't ""be complacent [because] we [have] a slender lead in first innings"". ""The second innings can be really rough,"" he added. ""It cannot be won just by a first innings lead, we need to win this by registering an outright victory,"" he stated.

short by Ankur Taliyan / 
      06:48 pm on 09 May

"
TN forms high-level committee led by ex-RBI Governor to assess COVID-19 impact,"
Tamil Nadu government has formed a high-level committee headed by former RBI Governor C Rangarajan to assess overall impact of coronavirus pandemic on the state's economy. The committee will also assess additional costs and implications due to social distancing and precautionary measures and submit a report within three months. Finance Secretary S Krishnan will be the coordinator of the committee.

short by Kiran Khatri / 
      07:27 pm on 09 May

"
Google asks staff to take a day off to address work 'burnout': Reports,"
Google CEO Sundar Pichai has asked employees to take an off on May 22 in order to address work-from-home-related ""burnout"", media reports said. For locations where May 22 is not a workday, employees were told to work with managers to find another date in May. Google plans to start reopening its offices as early as June.

short by Aishwarya / 
      06:29 pm on 09 May

"
"Apart from 2011 WC final, 2016 World T20 match vs Aus my favourite: Kohli","
During an online interaction, India skipper Virat Kohli revealed that apart from the 2011 World Cup final, the 2016  World T20 quarter-final match against Australia is his favourite. Kohli had scored 82 off 51 balls in the game, helping India chase down the target of 161 runs with five balls remaining. He was named the player of the match.

short by Ankur Taliyan / 
      06:19 pm on 09 May

"
"Google Duo adds family mode, to let users doodle on calls","
Google Duo has announced addition of 'family mode' on the platform which will let users doodle on video calls and also use ""fun effects and masks"". The mode also hides hang-up and mute buttons to prevent accidental mutes or hang-ups. Google also announced that Duo video chat app will soon let users make group video calls on web.

short by Aishwarya / 
      05:57 pm on 09 May

"
"Sea-levels could rise over a metre by 2100, 5 metres by 2300: Study","
Study led by Nanyang Technological University found global mean sea-level could rise over a metre by 2100 and 5 metres by 2300 unless global emissions are reduced. If CO2 is cut down effectively and temperature increase is held at 2°C the rise would be around 0.5 metre by 2100, it added. The study used projections by over 100 international experts.

short by Aishwarya / 
      07:30 pm on 09 May

"
Hundreds of Olive Ridley turtles head to sea after hatching; video surfaces,"
Indian Forest Service (IFS) officer Susanta Nanda shared a video of Olive Ridley turtle hatchlings making their way to the sea in Odisha. ""Nearly 2 crore plus Olive Ridley hatchlings have emerged and made their way to the sea from half of about 4 lakh nesting at Nasi-2 islands, Gahirmatha rookery Odisha,"" he wrote sharing the video.

short by Nandini Sinha / 
      04:25 pm on 09 May

"
Bundle of lies: TMC as Shah says WB not allowing migrants to reach home,"
TMC leader Abhishek Banerjee has criticised Home Minister Amit Shah for alleging that West Bengal government is not allowing trains with migrant workers to enter state. Accusing Shah of misleading people with a ""bundle of lies"", Banerjee asked him to prove his ""fake allegations"" or apologise. The Home Minister is ""failing to discharge his duties"" during coronavirus crisis, said Banerjee.

short by Sakshita Khosla / 
      03:43 pm on 09 May

"
TN govt moves SC against Madras HC order to close all liquor stores,"
The Tamil Nadu Government has moved the Supreme Court challenging the Madras High Court order that directed the closure of all state-run TASMAC liquor shops till the lockdown is lifted. The High Court permitted only online sale of liquor in the state to prevent the spread of coronavirus after it noted that people violated social distancing norms at the stores.

short by Kiran Khatri / 
      04:14 pm on 09 May

"
Ivanka Trump's personal assistant tests positive for coronavirus: Report,"
Ivanka Trump's personal assistant has tested positive for coronavirus, according to a report by CNN. The assistant, who works in a personal capacity for US President Donald Trump's daughter, has not been around her in several weeks. She has been teleworking for nearly two months and was tested out of caution, the report quoted a source as saying.

short by Ankush Verma / 
      03:13 pm on 09 May

"
Northeast has become a model for controlling COVID-19: Jitendra Singh,"
Union Minister Jitendra Singh has said that northeastern region of India has ""become a model for [India] to emulate"" for controlling coronavirus by adhering to lockdown guidelines. ""People of northeastern region are civilised and disciplined. That is why they could very easily follow the lockdown guidelines,"" Singh told PTI. Five of the eight northeastern states are coronavirus-free, said Singh.

short by Sakshita Khosla / 
      03:59 pm on 09 May

"
"I'll give you anything you want, please don't use mongoose bat: Dhoni told Hayden","
Ex-Australia opener Matthew Hayden has revealed his ex-CSK teammate MS Dhoni had asked him to not use the mongoose bat. ""I remember Dhoni saying, 'I'll give you anything you want in life...Please do not use this bat!',"" Hayden said. He added, ""But, the fact is, when I hit from the middle of this bat, it goes 20 metres further.""

short by Anmol Sharma / 
      03:38 pm on 09 May

"
Coronavirus has destroyed everything: MPL player Salman Khan living in tent,"
Mumbai Premier League player Salman Khan, who lives in a tent with his family at Cross Maidan, has said that coronavirus has destroyed everything. ""Had MPL happened, I would have shifted my family from this tent to a rented place somewhere in Mumbai. I don’t have a job and my limited savings are fast disappearing,"" Salman added.

short by Anmol Sharma / 
      04:16 pm on 09 May

"
They don't tell you when they drop you from Team India: Pragyan Ojha,"
Ex-India spinner Pragyan Ojha has criticised Team India selectors for their lack of communication on picking and dropping players from the team. ""Selectors don't tell you when they drop you...It just happens. You see the team and if you are not there, you are not there,"" he further said. Ojha retired from all forms of cricket in February this year.

short by Anmol Sharma / 
      04:46 pm on 09 May

"
"Some even wished for my death, I am absolutely fine: Amit Shah on health rumours","
Home Minister Amit Shah took to Twitter on Saturday to dismiss rumours that he is unwell and suffering from a disease, saying, ""I am absolutely fine and not suffering from any disease."" ""Some people had also tweeted wishing for my death...I don't have anything against those who have spread rumours regarding my health. I thank them,"" he added.

short by Anmol Sharma / 
      04:18 pm on 09 May

"
Extending working hours to neither benefit firms nor workers: K'taka minister,"
Karnataka may not extend daily working hours from eight to twelve as it would neither benefit the industries nor the workers, said Labour Minister Shivaram Hebbar. He said the proposal may be discussed soon. ""More than extending working hours, there should be employment to be given...If there are no jobs, what can be done by extending working hours?"" Hebbar said.

short by Dharna / 
      04:40 pm on 09 May

"
Torn over future of China trade deal: Trump amid COVID-19 pandemic,"
US President Donald Trump has said he is ""very torn"" about the future of Phase 1 of trade deal with China that was signed in January. ""I am having a very hard time with China,"" Trump added in an interview. Earlier, top trade negotiators from both countries pledged to press ahead with implementing it despite economic impact of coronavirus pandemic. 

short by Kiran Khatri / 
      04:05 pm on 09 May

"
I've started writing new script for Akshay in lockdown: Priyadarshan,"
Filmmaker Priyadarshan, while talking about how he's spending his time amid the lockdown, said he's reading, watching films and writing a new script for Akshay Kumar. ""Sometimes, it's good to slow down and...lockdown has given many of us a chance to relax and ruminate,"" he added.  Priyadarshan has previously worked with Akshay in films like 'Bhool Bhulaiyaa' and 'Garam Masala'.

short by Udit Gupta / 
      03:39 pm on 09 May

"
It's a dream right now: Sara on brother Ibrahim's acting aspirations,"
Sara Ali Khan, while talking about her brother Ibrahim Ali Khan's aspirations towards acting, said, ""He has not even gone to college...yet. And I think acting is a while away."" She added that acting is something Ibrahim is passionate about. ""If he works towards it...then sure. It's a dream right now, making it a reality is on him,"" said Sara.

short by Udit Gupta / 
      03:35 pm on 09 May

"
Would give US admin 'D-minus' for response to coronavirus: Melinda Gates,"
Philanthropist Melinda Gates said that she would grade US administration a 'D-minus' for its handling of the coronavirus pandemic. ""We need leadership at the national level. We lost two months almost now in terms of our national response,"" she said. ""You know, if we were doing the things that the exemplar countries are doing...we would be testing,"" she added.

short by Kirti Joshi / 
      03:39 pm on 09 May

"
China continues to hide COVID-19 data from world: Mike Pompeo,"
China continues to hide and obfuscate COVID-19 data from the world, US Secretary of State Mike Pompeo said on Friday. He said that he has seen a significant amount of ""evidence"" suggesting that a laboratory in the Chinese city of Wuhan was ""underperforming"" and the coronavirus could well have ""emanated"" from there.

short by Kirti Joshi / 
      03:56 pm on 09 May

"
No fee hike for academic year 2020-21: Maha Education Department,"
The Maharashtra Education Department on Saturday said that there will be no hike in school fee for the academic year 2020-21 in the state, amid coronavirus pandemic. ""Parents should not be forced to pay the remaining fee of the academic year 2019-20 and the fee for 2020-21 in one go, they must be given monthly/quarterly payment options,"" the department added.

short by Atul Mishra / 
      04:35 pm on 09 May

"
"We are strictly monitoring the railway tracks, tunnels: Goa Police","
The Goa Police has said that they are ""strictly"" monitoring the railway tracks and tunnels so that migrant labourers do not walk on tracks to go back to their homes, amid coronavirus pandemic. ""We have taken our migrant population in confidence and told them that one by one in a staggered manner, they can go home,"" police added.

short by Atul Mishra / 
      04:53 pm on 09 May

"
WHO to launch a COVID-19 app to help users assess symptoms,"
WHO plans to launch a COVID-19 app this month to help people assess their symptoms. It is also considering Bluetooth-based proximity tracing feature but hasn't committed to the idea. WHO will release a version of the app on app stores globally and governments would be able to use app's underlying technology, add features and release their version on app stores.

short by Aishwarya / 
      03:42 pm on 09 May

"
"Centre, WB should work together to bring back stranded workers: Cong","
Congress leader Adhir Ranjan Chowdhury on Saturday urged West Bengal government and Centre to work together to bring back migrant workers of the state stranded in other states, amid coronavirus pandemic. ""I got to know today that the state government has asked for 8 trains. I appeal to the state government and Amit Shah Ji to work together,"" he added.

short by Atul Mishra / 
      03:46 pm on 09 May

"
Welcome govt's move to borrow ₹4.2 lakh cr more in FY21: Chidambaram,"
Former Finance Minister P Chidambaram has welcomed government's decision to borrow additional ₹4.2 lakh crore for 2020-21 due to coronavirus pandemic. It should be used ""to provide relief to the poor and to restart the economy"", he said. On Friday, the government hiked the gross market borrowing estimate for 2020-21 to ₹12 lakh crore from the earlier ₹7.8 lakh crore.

short by Kiran Khatri / 
      04:58 pm on 09 May

"
"India's fuel demand falls 46% in April amid lockdown, lowest since 2007","
India's fuel demand fell 46% in April from a year earlier amid the lockdown due to coronavirus which began on March 25. According to government data, fuel consumption totalled 9.93 million tonnes in April, the lowest since 2007. Fuel retailers across India sold 50% less refined fuel in first two weeks of April compared to the same period last year. 

short by Kiran Khatri / 
      03:36 pm on 09 May

"
Aus captain Lanning delivers virtual batting class for Ireland women's team,"
Amid the suspension of cricket due to the coronavirus pandemic, Australia Women captain Meg Lanning delivered a virtual batting class to Ireland women's cricket squad. Lanning was joined by former Ireland skipper Isobel Joyce in the initiative. Lanning holds the record of most number of ODI hundreds along with the second-highest individual score of 133* in T20Is in women's cricket.

short by Ankur Taliyan / 
      04:55 pm on 09 May

"
I feel for spinners in Australia: Usman Khawaja,"
Australia batsman Usman Khawaja has said he ""feels"" for spinners in Australia as the wickets in the country don't favour spin. ""We've an absolute genius in Nathan Lyon...but who's coming after him?"" said Khawaja. ""Unless we have spinners playing day in and day out...we're going to suffer...hopefully this year we've got wickets that are favourable for everyone,"" he added. 

short by Ankur Taliyan / 
      03:22 pm on 09 May

"
I seriously can't believe it: Rohit Sharma on his hat-trick vs MI in 2009 IPL,"
Recalling his IPL hat-trick against Mumbai Indians in the second edition of the IPL in 2009, Rohit Sharma, who was playing for now-defunct Deccan Chargers, said that he ""seriously"" still can't believe it. ""I don't even remember how I used to bowl then,"" he added. Rohit had picked Abhishek Nayar, Harbhajan Singh and JP Duminy's wickets for his hat-trick. 

short by Ankur Taliyan / 
      03:38 pm on 09 May

"
3D-printed foam that can expand up to 40 times its size developed,"
A team of researchers from UC San Diego developed a 3D-printed foaming resin that can be expanded after printing to produce parts up to 40 times larger than its original volume. The foaming resin uses heat to expand. Researchers said it can be used in several industries, including aerospace and architecture. It can also be used in floatation devices.

short by Aishwarya / 
      04:45 pm on 09 May

"
Facebook rolls out redesigned website with 'dark mode',"
After months of testing, Facebook has globally rolled out its redesigned desktop website. The company said the new ""simplified"" design takes cues from its mobile app and is faster and easier to use. The new version also includes a ""Dark Mode"", the toggle for which can be found after clicking on the 'down arrow' at the website's upper right corner.

short by Dharna / 
      03:52 pm on 09 May

"
Milan Fashion Week to go digital amid COVID-19 in a first,"
Milan Fashion Week, which has been postponed to July 14-17, will be held in a digital format amid the coronavirus pandemic. Camera Nazionale della Moda Italiana (CNMI) announced the first 'Milan Digital Fashion Week' will allow brands to showcase spring/summer 2021 men's collections and women's and men's pre-collections. The digital offerings will include photo and video content.

short by Vidushi Mishra / 
      04:15 pm on 09 May

"
"No testing for mild, moderate coronavirus cases before discharge: Govt","
No tests are required for mild/very mild/pre-symptomatic and moderate coronavirus cases before discharge, according to the revised discharge policy for coronavirus patients by Ministry of Health and Family Welfare. However, at the time of discharge, these patients will be advised to follow home isolation for 7 days as per guidelines issued by the Ministry of Health and Family Welfare.

short by Ankush Verma / 
      12:43 pm on 09 May

"
We don't anticipate worst but we're prepared: Govt on COVID-19,"
Union Health Minister Harsh Vardhan on Saturday said, ""We do not anticipate a very worst type of situation in our country like many other developed countries."" ""But still, we have prepared the whole country for the worst situation,"" he added. ""Our fatality rate...continues to be around 3.3%...recovery rate has climbed up to 29.9%, these are...good indicators,"" Harsh Vardhan further said.

short by Atul Mishra / 
      01:45 pm on 09 May

"
Coronavirus will go away without vaccine: Trump,"
US President Donald Trump has said coronavirus will ""go away without a vaccine"", adding that he is expecting 95,000 or more deaths in the country. He said this during an event with Republican lawmakers. The current coronavirus death toll in the US stands at just over 77,000, with nearly 13 lakh people infected.

short by Ankush Verma / 
      12:40 pm on 09 May

"
"Willing to help N Korea in fighting COVID-19, concerned about situation there: China","
China is willing to offer support to North Korea within its ability against coronavirus, Chinese President Xi Jinping wrote in a letter to North Korean leader Kim Jong-un. Xi said he was very concerned about the situation in North Korea, and added that he was pleased that its efforts to control the respiratory illness had achieved positive results.

short by Ankush Verma / 
      01:57 pm on 09 May

"
"714 Maharashtra police personnel tested +ve so far, 5 have died","
As many as 714 police personnel in Maharashtra have tested positive for coronavirus so far, of which five have passed away, the police stated on Saturday. There are 648 active cases while 61 police personnel have recovered in the state, it added. Further, there have been 194 incidents of assault on police personnel during the lockdown period.

short by Aarushi Maheshwari / 
      01:32 pm on 09 May

"
"Mumbai reports 748 COVID-19 cases in 1 day, total nears 12,000","
As many as 748 people tested positive for coronavirus in Mumbai on Friday, taking the total number of cases in the city to 11,967, Brihanmumbai Municipal Corporation (BMC) has stated. The death toll in Mumbai due to coronavirus reached 462 as 25 more fatalities were reported in the city. Further, over 2,500 patients have recovered from the disease in Mumbai.

short by Aarushi Maheshwari / 
      02:47 pm on 09 May

"
"57 new COVID-19 cases in Rajasthan, no deaths in last 24 hours","
As many as 57 new COVID-19 cases have been reported while there have been no coronavirus-related deaths in the last 24 hours in Rajasthan, the state government has said. With this, the total number of coronavirus cases in the state has risen to 3,636. Meanwhile, 2,021 coronavirus patients in the state have recovered while 103 have passed away.

short by Aarushi Maheshwari / 
      02:01 pm on 09 May

"
"Karnataka bars, restaurants allowed to sell liquor as takeaway at MRP","
The Karnataka government on Friday permitted clubs, bars and restaurants to sell liquor in takeaway form at MRP till May 17 in order to clear their existing stock. The establishments can sell only sealed bottles of liquor and must ensure that social distancing norms are followed. Further, they cannot operate in containment zones or procure fresh stock during the period.

short by Aarushi Maheshwari / 
      03:04 pm on 09 May

"
